requestedUrl,finalUrl,category,name,title,type,score
"http://localhost:3001/","http://localhost:3001/","Performance","performance-score","Overall Performance Category Score","numeric","0.27"
"http://localhost:3001/","http://localhost:3001/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.87"
"http://localhost:3001/","http://localhost:3001/","Performance","interactive","Time to Interactive","numeric","0"
"http://localhost:3001/","http://localhost:3001/","Performance","speed-index","Speed Index","numeric","0.32"
"http://localhost:3001/","http://localhost:3001/","Performance","total-blocking-time","Total Blocking Time","numeric","0.01"
"http://localhost:3001/","http://localhost:3001/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"http://localhost:3001/","http://localhost:3001/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0"
"http://localhost:3001/","http://localhost:3001/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.96"
"http://localhost:3001/","http://localhost:3001/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.44"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-responsive-images","Properly size images","numeric","0.88"
"http://localhost:3001/","http://localhost:3001/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","unminified-css","Minify CSS","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.88"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-text-compression","Enable text compression","numeric","0"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","server-response-time","Initial server response time was short","binary","1"
"http://localhost:3001/","http://localhost:3001/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-http2","Use HTTP/2","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","total-byte-weight","Avoid enormous network payloads","numeric","0"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"http://localhost:3001/","http://localhost:3001/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.28"
"http://localhost:3001/","http://localhost:3001/","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.09"
"http://localhost:3001/","http://localhost:3001/","Performance","font-display","Ensure text remains visible during webfont load","binary","0"
"http://localhost:3001/","http://localhost:3001/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","third-party-summary","Minimize third-party usage","binary","1"
"http://localhost:3001/","http://localhost:3001/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","layout-shift-elements","Avoid large layout shifts","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"http://localhost:3001/","http://localhost:3001/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"http://localhost:3001/","http://localhost:3001/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"http://localhost:3001/","http://localhost:3001/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"http://localhost:3001/","http://localhost:3001/","Performance","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"http://localhost:3001/","http://localhost:3001/","Performance","performance-budget","Performance budget","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","timing-budget","Timing budget","notApplicable","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","network-requests","Network Requests","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","main-thread-tasks","Tasks","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","diagnostics","Diagnostics","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","metrics","Metrics","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","final-screenshot","Final Screenshot","informative","-1"
"http://localhost:3001/","http://localhost:3001/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
